MATERIAL,SPEC_NO,TYPE/GRADE,UNS_NO,CLASS/CONDITION/TEMPER,MIN_THK,MAX_THK,P-NO,NOTES,MIN_TEMP,TENSILE,YIELD,S,"1/2""","3/4""","1""","1-1/2""","2""","3""","4""","6""","8""","10""","12""","14""","16""","18""","20""","24"""
-,A106,A,K02501,-,-,-,1.0,57,B,48.0,30.0,16.0,1.2874,1.6137,2.0187,2.9192,3.6445,5.3731,6.9082,10.172,13.2423,16.5,19.5703,21.4923,24.5626,27.6209,30.7033,36.8681
-,A106,B,K03006,-,-,-,1.0,57,B,60.0,35.0,20.0,1.0554,1.323,1.655,2.3932,2.9878,4.405,5.6635,8.3392,10.8563,13.527,16.0441,17.6198,20.1369,22.6441,25.1712,30.2252
-,A106,C,K03501,-,-,-,1.0,57,B,70.0,40.0,23.3,0.9188,1.1518,1.4408,2.0835,2.6012,3.8349,4.9306,7.26,9.4514,11.7765,13.9678,15.3396,17.531,19.7137,21.9137,26.3137
A285 Gr. A,A134,A285A,K01700,-,-,-,1.0,"8b, 57",B,45.0,24.0,14.7,1.3864,1.7379,2.174,3.1438,3.9249,5.7864,7.4396,10.9544,14.2609,17.7692,21.0757,23.1456,26.4521,29.7456,33.0651,39.7041
A285 Gr. B,A134,A285B,K02200,-,-,-,1.0,"8b, 57",B,50.0,27.0,16.5,1.2529,1.5706,1.9647,2.8412,3.5471,5.2294,6.7235,9.9,12.8882,16.0588,19.0471,20.9176,23.9059,26.8824,29.8824,35.8824
A285 Gr. C,A134,A285B,K02801,-,-,-,1.0,"8b, 57",A,55.0,30.0,18.3,1.1429,1.4327,1.7922,2.5917,3.2356,4.7702,6.1332,9.0307,11.7566,14.6488,17.3746,19.081,21.8068,24.522,27.2585,32.7317
-,A135,A,-,-,-,-,1.0,"57, 59",B,48.0,30.0,16.0,1.2874,1.6137,2.0187,2.9192,3.6445,5.3731,6.9082,10.172,13.2423,16.5,19.5703,21.4923,24.5626,27.6209,30.7033,36.8681
-,A135,B,K03018,-,-,-,1.0,"57, 59",B,60.0,35.0,20.0,1.0554,1.323,1.655,2.3932,2.9878,4.405,5.6635,8.3392,10.8563,13.527,16.0441,17.6198,20.1369,22.6441,25.1712,30.2252
-,A139,A,-,-,-,-,1.0,8b,A,48.0,30.0,16.0,1.2874,1.6137,2.0187,2.9192,3.6445,5.3731,6.9082,10.172,13.2423,16.5,19.5703,21.4923,24.5626,27.6209,30.7033,36.8681
-,A139,B,K03003,-,-,-,1.0,8b,A,60.0,35.0,20.0,1.0554,1.323,1.655,2.3932,2.9878,4.405,5.6635,8.3392,10.8563,13.527,16.0441,17.6198,20.1369,22.6441,25.1712,30.2252
