MATERIAL,SPEC_NO,TYPE/GRADE,UNS_NO,CLASS/CONDITION/TEMPER,MIN_THK,MAX_THK,P-NO,NOTES,MIN_TEMP,TENSILE,YIELD,S,"1/2""","3/4""","1""","1-1/2""","2""","3""","4""","6""","8""","10""","12""","14""","16""","18""","20""","24"""
-,A106,A,K02501,-,-,-,1.0,57,B,48.0,30.0,16.0,2.8749,3.2012,3.6062,4.5067,5.232,6.9606,8.4957,11.7595,14.8298,18.0875,21.1578,23.0798,26.1501,29.2084,32.2908,38.4556
-,A106,B,K03006,-,-,-,1.0,57,B,60.0,35.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,A106,C,K03501,-,-,-,1.0,57,B,70.0,40.0,23.3,2.5063,2.7393,3.0283,3.671,4.1887,5.4224,6.5181,8.8475,11.0389,13.364,15.5553,16.9271,19.1185,21.3012,23.5012,27.9012
A285 Gr. A,A134,A285A,K01700,-,-,-,1.0,"8b, 57",B,45.0,24.0,14.7,2.9739,3.3254,3.7615,4.7313,5.5124,7.3739,9.0271,12.5419,15.8484,19.3567,22.6632,24.7331,28.0396,31.3331,34.6526,41.2916
A285 Gr. B,A134,A285B,K02200,-,-,-,1.0,"8b, 57",B,50.0,27.0,16.5,2.8404,3.1581,3.5522,4.4287,5.1346,6.8169,8.311,11.4875,14.4757,17.6463,20.6346,22.5051,25.4934,28.4699,31.4699,37.4699
A285 Gr. C,A134,A285B,K02801,-,-,-,1.0,"8b, 57",A,55.0,30.0,18.3,2.7304,3.0202,3.3797,4.1792,4.8231,6.3577,7.7207,10.6182,13.3441,16.2363,18.9621,20.6685,23.3943,26.1095,28.846,34.3192
-,A135,A,-,-,-,-,1.0,"57, 59",B,48.0,30.0,16.0,2.8749,3.2012,3.6062,4.5067,5.232,6.9606,8.4957,11.7595,14.8298,18.0875,21.1578,23.0798,26.1501,29.2084,32.2908,38.4556
-,A135,B,K03018,-,-,-,1.0,"57, 59",B,60.0,35.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,A139,A,-,-,-,-,1.0,8b,A,48.0,30.0,16.0,2.8749,3.2012,3.6062,4.5067,5.232,6.9606,8.4957,11.7595,14.8298,18.0875,21.1578,23.0798,26.1501,29.2084,32.2908,38.4556
-,A139,B,K03003,-,-,-,1.0,8b,A,60.0,35.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,A139,C,K03004,-,-,-,1.0,8b,A,60.0,42.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,A139,D,K03010,-,-,-,1.0,8b,A,60.0,46.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,A139,E,K03012,-,-,-,1.0,8b,A,66.0,52.0,22.0,2.5557,2.8011,3.1057,3.783,4.3284,5.6284,6.783,9.2375,11.5466,13.9966,16.3057,17.7511,20.0602,22.3602,24.6784,29.3148
-,A179,-,K01200,-,-,-,1.0,"57, 59",-20,47.0,26.0,15.7,2.8964,3.2283,3.64,4.5557,5.2931,7.0506,8.6115,11.93,15.0517,18.364,21.4858,23.44,26.5618,29.6713,32.8054,39.0735
-,A333,1,K03008,-,-,-,1.0,"57, 59",-50,55.0,30.0,18.3,2.7304,3.0202,3.3797,4.1792,4.8231,6.3577,7.7207,10.6182,13.3441,16.2363,18.9621,20.6685,23.3943,26.1095,28.846,34.3192
-,A333,6,K03006,-,-,-,1.0,57,-50,60.0,35.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,A334,1,K03008,-,-,-,1.0,"57, 59",-50,55.0,30.0,18.3,2.7304,3.0202,3.3797,4.1792,4.8231,6.3577,7.7207,10.6182,13.3441,16.2363,18.9621,20.6685,23.3943,26.1095,28.846,34.3192
-,A334,6,K03006,-,-,-,1.0,57,-50,60.0,35.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,A369,FPA,K02501,-,-,-,1.0,57,B,48.0,30.0,16.0,2.8749,3.2012,3.6062,4.5067,5.232,6.9606,8.4957,11.7595,14.8298,18.0875,21.1578,23.0798,26.1501,29.2084,32.2908,38.4556
