materials_group,temperature,150,300,600,900,1500,2500
1.1,-20,285,740,1480,2220,3705,6170
1.1,100,285,740,1480,2220,3705,6170
1.1,200,260,680,1360,2035,3395,5655
1.1,300,230,655,1310,1965,3270,5450
1.1,400,200,635,1265,1900,3170,5280
1.1,500,170,605,1205,1810,3015,5025
1.1,600,140,570,1135,1705,2840,4730
1.1,650,125,550,1100,1650,2745,4575
1.1,700,110,530,1060,1590,2655,4425
1.1,750,95,505,1015,1520,2535,4230
1.1,800,80,410,825,1235,2055,3430
1.1,850,65,320,640,955,1595,2655
1.1,900,50,230,460,590,1150,1915
1.1,950,35,135,275,410,685,1145
1.1,1000,20,85,170,255,430,715
